time_start,target,launched,destroyed
2024-10-26 21:00:00,Kyiv oblast and Odesa oblast,80.0,41.0
2024-10-27 06:00:00,,1.0,1.0
2024-10-27 06:00:00,,1.0,1.0
2024-10-26 06:00:00,,1.0,1.0
2024-10-26 06:00:00,Odesa oblast,1.0,1.0
2024-10-25 21:00:00,Dnipro and Sumy oblast,2.0,0.0
2024-10-25 21:00:00,Dnipro and Sumy oblast,2.0,0.0
2024-10-25 21:00:00,Dnipro and Sumy oblast,3.0,0.0
2024-10-24 23:00:00,Kyiv oblast and Odesa oblast,63.0,36.0
2024-10-23 21:00:00,,2.0,0.0
2024-10-23 21:00:00,,2.0,0.0
2024-10-22 22:00:00,Odesa oblast,1.0,0.0
2024-10-23 06:00:00,,1.0,1.0
2024-10-23 06:00:00,,1.0,1.0
2024-10-23 06:00:00,,1.0,1.0
2024-10-22 06:00:00,,1.0,1.0
2024-10-20 20:00:00,Odesa oblast,1.0,0.0
2024-10-20 20:00:00,Odesa oblast,1.0,0.0
2024-10-20 20:00:00,,1.0,0.0
2024-10-19 21:00:00,Kryvyi Rih,2.0,0.0
2024-10-18 21:00:00,Odesa oblast,6.0,4.0
2024-10-15 19:00:00,Chernihiv oblast,1.0,0.0
2024-10-15 19:00:00,Donetsk oblast,1.0,0.0
2024-10-15 06:00:00,Chernihiv oblast and Sumy oblast,2.0,0.0
2024-10-15 06:00:00,Mykolaiv oblast,7.0,0.0
2024-10-15 06:00:00,Mykolaiv oblast,1.0,0.0
2024-10-15 06:00:00,,1.0,1.0
2024-10-15 06:00:00,Odesa oblast,2.0,0.0
2024-10-15 06:00:00,Kherson oblast,16.0,0.0
2024-10-14 06:00:00,Odesa oblast,1.0,0.0
2024-10-13 06:00:00,Chernihiv oblast and Sumy oblast,2.0,0.0
2024-10-13 06:00:00,Poltava oblast,1.0,0.0
2024-10-13 06:00:00,Odesa oblast,1.0,0.0
2024-10-11 06:00:00,,1.0,0.0
2024-10-11 06:00:00,,1.0,0.0
2024-10-09 19:00:00,Mykolaiv oblast,2.0,0.0
2024-10-09 19:00:00,Odesa oblast,1.0,0.0
2024-10-09 19:00:00,Odesa oblast,2.0,0.0
2024-10-09 19:00:00,,3.0,0.0
2024-10-10 06:00:00,,4.0,4.0
2024-10-10 06:00:00,,1.0,1.0
2024-10-10 06:00:00,,3.0,3.0
2024-10-09 06:00:00,Poltava oblast,3.0,0.0
2024-10-09 06:00:00,,2.0,2.0
2024-10-09 06:00:00,,1.0,1.0
2024-10-07 19:00:00,,1.0,1.0
2024-10-07 19:00:00,Odesa oblast,2.0,0.0
2024-10-08 06:00:00,,1.0,1.0
2024-10-08 06:00:00,,3.0,3.0
2024-10-07 08:20:00,Kyiv oblast and Starokostiantyniv,3.0,2.0
2024-10-05 19:00:00,Odesa oblast,2.0,0.0
2024-10-05 06:00:00,,3.0,3.0
2024-10-03 06:00:00,,1.0,1.0
2024-10-03 06:00:00,Odesa oblast,1.0,0.0
2024-10-03 06:00:00,,1.0,1.0
2024-10-03 06:00:00,,1.0,1.0
2024-10-01 12:00:00,Odesa oblast,1.0,0.0
2024-10-01 06:00:00,,1.0,1.0
2024-10-01 06:00:00,,1.0,1.0
2024-10-01 06:00:00,,1.0,1.0
2024-09-30 06:00:00,Kherson oblast,2.0,0.0
2024-09-28 07:30:00,Sumy oblast,3.0,1.0
2024-09-27 19:00:00,Odesa oblast,2.0,0.0
2024-09-27 16:00:00,Starokostiantyniv,4.0,0.0
2024-09-27 06:00:00,Snake Island,2.0,0.0
2024-09-27 06:00:00,,1.0,0.0
2024-09-27 06:00:00,,1.0,1.0
2024-09-26 10:00:00,Starokostiantyniv,3.0,0.0
2024-09-26 06:00:00,Odesa oblast,4.0,4.0
2024-09-26 06:00:00,Sumy oblast,2.0,0.0
2024-09-25 06:00:00,Odesa oblast,4.0,4.0
2024-09-25 06:00:00,Kharkiv oblast,3.0,0.0
2024-09-25 06:00:00,Kharkiv oblast,1.0,0.0
2024-09-25 06:00:00,,2.0,2.0
2024-09-25 06:00:00,,1.0,1.0
2024-09-25 06:00:00,,1.0,1.0
2024-09-23 20:00:00,,81.0,66.0
2024-09-24 06:00:00,,4.0,4.0
2024-09-24 06:00:00,,1.0,1.0
2024-09-24 06:00:00,,11.0,11.0
2024-09-23 06:00:00,Sumy oblast,4.0,3.0
2024-09-22 06:00:00,,2.0,0.0
2024-09-21 06:00:00,,5.0,5.0
2024-09-21 06:00:00,Dnipropetrovsk oblast,4.0,0.0
2024-09-20 06:00:00,Dnipropetrovsk oblast,1.0,1.0
2024-09-20 06:00:00,Donetsk oblast,3.0,0.0
2024-09-20 06:00:00,,1.0,1.0
2024-09-20 06:00:00,,7.0,7.0
2024-09-20 06:00:00,Odesa oblast,1.0,0.0
2024-09-19 06:00:00,,1.0,1.0
2024-09-19 06:00:00,,3.0,0.0
2024-09-19 06:00:00,,1.0,1.0
2024-09-19 06:00:00,,1.0,1.0
2024-09-18 06:00:00,Mykolaiv oblast,3.0,0.0
2024-09-15 06:00:00,,1.0,1.0
2024-09-15 06:00:00,Odesa oblast,2.0,0.0
2024-09-14 06:00:00,,1.0,1.0
2024-09-14 06:00:00,,2.0,2.0
2024-09-14 06:00:00,,2.0,2.0
2024-09-14 06:00:00,,1.0,1.0
2024-09-12 06:00:00,Snake Island,2.0,0.0
2024-09-12 06:00:00,Chernihiv oblast,2.0,0.0
2024-09-12 06:00:00,,4.0,4.0
2024-09-12 06:00:00,,1.0,1.0
2024-09-12 06:00:00,,4.0,4.0
2024-09-12 06:00:00,Odesa oblast,1.0,1.0
2024-09-11 06:00:00,Chernihiv oblast,1.0,0.0
2024-09-11 06:00:00,Snake Island,6.0,0.0
2024-09-11 06:00:00,,2.0,0.0
2024-09-10 06:00:00,Snake Island,1.0,0.0
2024-09-10 06:00:00,Kherson oblast,1.0,0.0
2024-09-10 06:00:00,,1.0,1.0
2024-09-10 06:00:00,,2.0,2.0
2024-09-09 06:00:00,,4.0,4.0
2024-09-09 06:00:00,,3.0,3.0
2024-09-09 06:00:00,,2.0,2.0
2024-09-07 06:00:00,,1.0,1.0
2024-09-07 06:00:00,,3.0,3.0
2024-09-07 06:00:00,,2.0,2.0
2024-09-06 06:00:00,,1.0,1.0
2024-09-06 06:00:00,,1.0,1.0
2024-09-04 05:30:00,"Odesa oblast, Black Sea",2.0,0.0
2024-09-04 05:50:00,Kryvyi Rih,3.0,3.0
